iter	Passed	Remaining
0	3	3576
1	7	3349
2	9	2813
3	12	2790
4	16	3003
5	19	2910
6	22	2819
7	24	2744
8	27	2683
9	29	2611
10	30	2435
11	33	2473
12	36	2467
13	38	2456
14	41	2448
15	43	2422
16	46	2410
17	49	2418
18	51	2395
19	53	2375
20	56	2359
21	58	2341
22	60	2323
23	64	2349
24	67	2348
25	70	2354
26	72	2345
27	75	2340
28	77	2326
29	80	2341
30	83	2341
31	86	2340
32	89	2339
33	91	2336
34	94	2339
35	97	2347
36	100	2343
37	103	2343
38	105	2334
39	108	2323
40	111	2332
41	114	2333
42	116	2327
43	119	2317
44	121	2307
45	123	2298
46	127	2307
47	129	2302
48	132	2294
49	134	2286
50	136	2278
51	139	2270
52	141	2264
53	144	2268
54	147	2261
55	149	2253
56	151	2246
57	154	2238
58	156	2232
59	160	2241
60	162	2234
61	164	2228
62	167	2221
63	169	2215
64	171	2207
65	175	2213
66	177	2208
67	179	2201
68	182	2195
69	184	2188
70	186	2182
71	189	2178
72	192	2182
73	195	2182
74	197	2177
75	200	2171
76	202	2165
77	204	2160
78	208	2166
79	210	2160
80	213	2155
81	215	2149
82	217	2143
83	220	2137
84	223	2144
85	226	2142
86	229	2140
87	231	2138
88	234	2134
89	236	2129
90	239	2132
91	242	2127
92	244	2122
93	246	2117
94	249	2112
95	251	2107
96	255	2115
97	258	2113
98	260	2108
99	262	2102
100	265	2097
101	267	2092
102	271	2097
103	273	2093
104	275	2088
105	278	2084
106	280	2079
107	282	2074
108	285	2072
109	288	2071
110	290	2067
111	293	2062
112	295	2057
113	297	2053
114	300	2049
115	303	2052
116	306	2050
117	309	2050
118	312	2049
119	314	2044
120	317	2044
121	320	2046
122	324	2047
123	326	2045
124	329	2043
125	331	2038
126	335	2041
127	337	2037
128	340	2034
129	342	2030
130	345	2026
131	347	2021
132	350	2023
133	353	2019
134	355	2015
135	357	2010
136	360	2006
137	362	2001
138	365	2002
139	368	1999
140	370	1995
141	373	1991
142	375	1987
143	377	1983
144	380	1980
145	383	1978
146	385	1974
147	387	1970
148	390	1967
149	392	1963
150	395	1960
151	398	1961
152	401	1958
153	403	1954
154	405	1950
155	408	1947
156	410	1943
157	414	1944
158	416	1941
159	419	1938
160	421	1934
161	424	1931
162	426	1928
163	429	1929
164	432	1927
165	435	1924
166	437	1920
167	440	1917
168	442	1914
169	446	1915
170	448	1913
171	451	1910
172	453	1907
173	456	1904
174	458	1901
175	462	1903
176	465	1900
177	467	1897
178	470	1894
179	472	1890
180	475	1888
181	478	1888
182	481	1885
183	483	1882
184	486	1879
185	488	1876
186	491	1873
187	495	1875
188	498	1874
189	501	1872
190	503	1869
191	506	1866
192	509	1866
193	512	1865
194	515	1863
195	517	1860
196	520	1856
197	522	1853
198	526	1853
199	528	1851
200	532	1850
201	534	1847
202	537	1844
203	540	1843
204	543	1841
205	545	1839
206	548	1836
207	551	1834
208	554	1831
209	557	1832
210	560	1830
211	563	1827
212	565	1824
213	568	1821
214	570	1818
215	574	1818
216	576	1815
217	579	1813
218	582	1810
219	584	1807
220	587	1805
221	590	1804
222	593	1801
223	595	1798
224	598	1795
225	601	1793
226	604	1792
227	607	1790
228	610	1787
229	612	1784
230	615	1781
231	617	1778
232	621	1778
233	624	1776
234	627	1774
235	629	1772
236	632	1769
237	635	1767
238	638	1766
239	641	1763
240	644	1761
241	646	1758
242	649	1755
243	652	1754
244	655	1752
245	658	1749
246	660	1746
247	663	1743
248	665	1741
249	669	1740
250	672	1737
251	674	1734
252	677	1732
253	679	1729
254	682	1726
255	685	1725
256	688	1722
257	691	1719
258	693	1716
259	696	1713
260	699	1712
261	701	1709
262	704	1705
263	706	1702
264	710	1702
265	714	1702
266	717	1701
267	721	1700
268	723	1697
269	727	1697
270	730	1696
271	733	1694
272	737	1694
273	740	1692
274	744	1691
275	746	1688
276	750	1686
277	752	1684
278	755	1681
279	759	1682
280	762	1680
281	765	1678
282	768	1676
283	771	1673
284	775	1673
285	778	1671
286	782	1670
287	784	1668
288	788	1666
289	791	1664
290	794	1661
291	797	1659
292	799	1656
293	802	1653
294	805	1652
295	808	1650
296	811	1647
297	813	1644
298	816	1641
299	819	1638
300	822	1636
301	825	1634
302	828	1632
303	830	1628
304	833	1625
305	836	1624
306	839	1622
307	842	1620
308	845	1617
309	848	1614
310	850	1611
311	853	1609
312	856	1606
313	859	1603
314	861	1600
315	864	1597
316	868	1596
317	871	1594
318	873	1591
319	876	1588
320	878	1585
321	881	1582
322	885	1581
323	888	1579
324	890	1575
325	893	1572
326	895	1569
327	898	1567
328	901	1564
329	904	1562
330	906	1558
331	909	1555
332	911	1552
333	914	1550
334	917	1547
335	920	1544
336	922	1541
337	925	1538
338	927	1534
339	930	1532
340	933	1529
341	936	1527
342	938	1523
343	940	1520
344	943	1517
345	946	1515
346	949	1512
347	951	1509
348	954	1506
349	956	1503
350	958	1499
351	962	1497
352	965	1495
353	967	1492
354	970	1490
355	973	1487
356	977	1487
357	981	1485
358	983	1482
359	986	1479
360	988	1476
361	991	1473
362	994	1471
363	997	1468
364	999	1465
365	1002	1461
366	1004	1458
367	1006	1455
368	1010	1453
369	1012	1450
370	1014	1446
371	1017	1443
372	1019	1440
373	1021	1436
374	1024	1434
375	1027	1432
376	1030	1429
377	1033	1426
378	1035	1423
379	1037	1420
380	1041	1418
381	1043	1415
382	1046	1412
383	1048	1409
384	1051	1406
385	1053	1402
386	1056	1400
387	1059	1397
388	1061	1394
389	1064	1391
390	1066	1388
391	1069	1385
392	1071	1382
393	1074	1380
394	1077	1377
395	1079	1374
396	1082	1371
397	1084	1368
398	1087	1365
399	1090	1363
400	1093	1360
401	1096	1358
402	1098	1354
403	1101	1351
404	1103	1349
405	1106	1346
406	1109	1343
407	1111	1340
408	1113	1337
409	1116	1334
410	1118	1331
411	1122	1329
412	1124	1326
413	1127	1323
414	1129	1320
415	1132	1317
416	1134	1314
417	1137	1312
418	1140	1309
419	1148	1312
420	1158	1318
421	1168	1323
422	1177	1327
423	1186	1332
424	1194	1335
425	1197	1332
426	1201	1331
427	1204	1328
428	1214	1333
429	1219	1332
430	1222	1329
431	1225	1327
432	1227	1324
433	1230	1321
434	1234	1319
435	1236	1316
436	1240	1313
437	1242	1310
438	1245	1307
439	1248	1305
440	1251	1302
441	1254	1300
442	1257	1296
443	1260	1294
444	1263	1291
445	1266	1289
446	1269	1286
447	1272	1284
448	1275	1280
449	1277	1277
450	1281	1275
451	1284	1272
452	1287	1270
453	1290	1267
454	1292	1264
455	1296	1262
456	1299	1259
457	1301	1256
458	1304	1253
459	1306	1250
460	1309	1246
461	1312	1244
462	1315	1241
463	1318	1238
464	1321	1236
465	1324	1233
466	1327	1231
467	1331	1228
468	1334	1226
469	1337	1223
470	1339	1220
471	1343	1218
472	1346	1215
473	1349	1212
474	1351	1209
475	1354	1206
476	1356	1203
477	1360	1200
478	1363	1198
479	1365	1195
480	1369	1192
481	1371	1189
482	1375	1187
483	1378	1184
484	1381	1181
